tok,c_br,c_pt,fpm_br,fpm_pt,delta_fpm,abs_delta_fpm
ver-te,402,6294,5.367,83.701,78.333,78.333
disse-me,1237,7132,16.516,94.845,78.329,78.329
umas,14421,20365,192.545,270.824,78.279,78.279
precisamos,24278,18505,324.153,246.089,-78.065,78.065
querias,358,6210,4.78,82.584,77.804,77.804
achou,8949,3152,119.485,41.917,-77.568,77.568
devia,26150,32083,349.148,426.656,77.508,77.508
menina,9461,15326,126.321,203.813,77.492,77.492
usando,7954,2160,106.2,28.725,-77.475,77.475
volte,11591,5819,154.76,77.384,-77.376,77.376
embaixo,7203,1423,96.173,18.924,-77.249,77.249
ótima,7315,1577,97.668,20.972,-76.696,76.696
fixe,347,6099,4.633,81.108,76.475,76.475
garotos,6791,1075,90.672,14.296,-76.376,76.376
esqueça,9901,4209,132.196,55.973,-76.222,76.222
uh,9456,3774,126.254,50.189,-76.065,76.065
sabias,344,6065,4.593,80.655,76.062,76.062
vindo,14402,8741,192.292,116.242,-76.049,76.049
voce,10382,4713,138.618,62.676,-75.942,75.942
alguns,31031,25467,414.318,338.673,-75.645,75.645
atrás,34866,29325,465.522,389.979,-75.543,75.543
contar,21800,16215,291.068,215.635,-75.433,75.433
raparigas,388,6024,5.18,80.11,74.93,74.93
conheces,468,6091,6.249,81.001,74.753,74.753
cão,6106,11715,81.526,155.792,74.266,74.266
correr,6520,12107,87.053,161.005,73.952,73.952
á,4515,10088,60.283,134.155,73.872,73.872
saindo,6598,1074,88.095,14.283,-73.812,73.812
conversar,12379,6880,165.281,91.494,-73.787,73.787
contacto,480,6009,6.409,79.911,73.502,73.502
sejas,511,6040,6.823,80.323,73.5,73.5
pronto,17889,23484,238.849,312.302,73.453,73.453
neste,18205,23792,243.068,316.398,73.33,73.33
contou,8875,3398,118.497,45.188,-73.308,73.308
raios,1868,7339,24.941,97.598,72.657,72.657
nossa,51051,45797,681.619,609.032,-72.588,72.588
vossos,829,6289,11.069,83.634,72.566,72.566
olhada,7216,1807,96.346,24.03,-72.316,72.316
cachorro,7419,2020,99.057,26.863,-72.194,72.194
polícia,22870,28390,305.354,377.545,72.19,72.19
conseguiu,13020,7678,173.84,102.106,-71.734,71.734
estado,12395,17830,165.495,237.112,71.618,71.618
ficar,74707,69636,997.468,926.055,-71.413,71.413
passar,22367,27810,298.638,369.831,71.193,71.193
miss,3911,9255,52.219,123.078,70.859,70.859
ouvindo,6378,1080,85.157,14.362,-70.795,70.795
ouviste,439,5759,5.861,76.586,70.725,70.725
quero,145701,140973,1945.361,1874.73,-70.631,70.631
tire,8614,3345,115.012,44.484,-70.528,70.528
sente,12070,6823,161.155,90.736,-70.42,70.42
deixar,33410,28298,446.081,376.321,-69.76,69.76
novamente,14793,9621,197.512,127.945,-69.567,69.567
baixo,12365,17624,165.094,234.373,69.279,69.279
quê,49625,44622,662.58,593.406,-69.174,69.174
tente,9613,4464,128.35,59.365,-68.986,68.986
ficou,19289,14179,257.542,188.56,-68.982,68.982
sinto-me,2181,7365,29.12,97.944,68.823,68.823
trem,6535,1422,87.254,18.91,-68.343,68.343
nome,50327,45410,671.953,603.885,-68.068,68.068
nisto,4081,9206,54.488,122.426,67.938,67.938
hoje,56377,51511,752.731,685.019,-67.711,67.711
percebo,1209,6303,16.142,83.82,67.678,67.678
pareces,353,5439,4.713,72.331,67.617,67.617
mesmo,113499,119035,1515.409,1582.988,67.579,67.579
tiveste,333,5399,4.446,71.799,67.353,67.353
veio,21806,16832,291.148,223.84,-67.307,67.307
oportunidade,6483,11568,86.559,153.837,67.278,67.278
cala-te,272,5325,3.632,70.815,67.183,67.183
rapazes,11527,16544,153.905,220.011,66.105,66.105
entendeu,6563,1628,87.627,21.65,-65.977,65.977
pense,9300,4383,124.171,58.287,-65.884,65.884
trouxe,14008,9116,187.031,121.229,-65.802,65.802
ficas,323,5259,4.313,69.937,65.624,65.624
vai-te,369,5257,4.927,69.91,64.983,64.983
só,216287,212267,2887.807,2822.834,-64.972,64.972
nele,12971,8138,173.185,108.223,-64.962,64.962
estamos,80312,75751,1072.305,1007.375,-64.929,64.929
cuidar,10075,5291,134.519,70.362,-64.156,64.156
algumas,25943,21238,346.384,282.434,-63.95,63.95
toma,4445,9270,59.348,123.277,63.929,63.929
fazê-lo,6419,11222,85.705,149.236,63.531,63.531
comboio,1102,5874,14.714,78.115,63.402,63.402
vejo,23325,18682,311.429,248.443,-62.986,62.986
terá,16224,11561,216.619,153.744,-62.874,62.874
adeus,9559,14321,127.629,190.448,62.819,62.819
pá,803,5527,10.721,73.501,62.779,62.779
somente,7670,3006,102.408,39.975,-62.432,62.432
teria,22609,18005,301.869,239.44,-62.43,62.43
ônibus,5357,707,71.525,9.402,-62.123,62.123
show,6973,2330,93.102,30.986,-62.116,62.116
tchau,5605,984,74.836,13.086,-61.751,61.751
parece-me,1050,5682,14.019,75.562,61.543,61.543
chegando,5801,1199,77.453,15.945,-61.509,61.509
ias,251,4869,3.351,64.75,61.399,61.399
vossas,727,5344,9.707,71.067,61.361,61.361
calhar,497,5113,6.636,67.995,61.359,61.359
direto,5801,1237,77.453,16.45,-61.003,61.003
dizer-te,345,4923,4.606,65.469,60.862,60.862
rosto,8613,4085,114.998,54.324,-60.674,60.674
sentindo,5340,813,71.298,10.812,-60.487,60.487
disse-te,301,4849,4.019,64.484,60.466,60.466
banho,5911,10481,78.922,139.382,60.46,60.46
hein,6694,2194,89.377,29.177,-60.2,60.2
devíamos,4488,9030,59.923,120.086,60.163,60.163
embora,32488,37121,433.771,493.654,59.883,59.883
leve,10632,6175,141.956,82.118,-59.837,59.837
estiveste,326,4826,4.353,64.179,59.826,59.826
fato,9960,5509,132.983,73.261,-59.722,59.722
são,136575,141594,1823.513,1882.989,59.476,59.476
devo,21636,17267,288.878,229.625,-59.253,59.253
diz-lhe,344,4787,4.593,63.66,59.067,59.067
perceber,2845,7275,37.986,96.747,58.761,58.761
ideias,1340,5749,17.891,76.453,58.562,58.562
homem,79654,84376,1063.519,1122.075,58.556,58.556
aonde,10091,5746,134.732,76.413,-58.319,58.319
ligue,7034,2679,93.916,35.627,-58.289,58.289
nunca,112671,117503,1504.353,1562.614,58.261,58.261
outro,53166,49003,709.858,651.667,-58.192,58.192
dizer-me,632,5001,8.438,66.506,58.068,58.068
time,5168,849,69.002,11.29,-57.711,57.711
direção,6216,1947,82.994,25.892,-57.102,57.102
portanto,4603,8902,61.458,118.383,56.925,56.925
coloque,5791,1575,77.32,20.945,-56.375,56.375
perto,25035,20921,334.261,278.218,-56.043,56.043
nessa,12920,8761,172.504,116.508,-55.996,55.996
matou,16375,12230,218.635,162.641,-55.994,55.994
disse-lhe,946,5153,12.631,68.527,55.896,55.896
entendi,6203,2034,82.821,27.049,-55.772,55.772
nesse,12967,8831,173.132,117.439,-55.693,55.693
direcção,386,4573,5.154,60.814,55.66,55.66
boca,14674,10549,195.923,140.286,-55.637,55.637
todos,112236,116868,1498.545,1554.17,55.625,55.625
ama,9668,5537,129.085,73.634,-55.451,55.451
vi,38323,34312,511.679,456.298,-55.38,55.38
teve,22967,18895,306.649,251.275,-55.374,55.374
percebes,228,4381,3.044,58.261,55.217,55.217
pensava,4561,8729,60.897,116.083,55.185,55.185
dormindo,5105,992,68.161,13.192,-54.968,54.968
ação,5548,1482,74.075,19.708,-54.367,54.367
mrs,1134,5216,15.141,69.365,54.224,54.224
acção,311,4376,4.152,58.194,54.042,54.042
chame,7112,3077,94.958,40.92,-54.038,54.038
ajudar,30729,26790,410.285,356.267,-54.018,54.018
sentes,267,4330,3.565,57.583,54.018,54.018
exceto,5509,1485,73.555,19.748,-53.806,53.806
tendo,6844,2827,91.379,37.595,-53.784,53.784
lembro,11075,7075,147.87,94.087,-53.784,53.784
seguir,7868,11943,105.051,158.824,53.773,53.773
excepto,328,4354,4.379,57.902,53.522,53.522
espectáculo,590,4616,7.878,61.386,53.508,53.508
apenas,61453,57690,820.504,767.191,-53.313,53.313
né,4907,934,65.517,12.421,-53.096,53.096
autocarro,272,4261,3.632,56.665,53.033,53.033
interessa,4559,8548,60.871,113.676,52.805,52.805
